rank,function,fuzz_seconds,build_status,stage_a_status,stage_b_status,corpus_size,branches_total,branches_covered,branch_pct,lines_total,lines_executed,line_pct,exec_per_sec,total_execs,coverage_blocks
82,print_LDBL,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
83,print_group,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
84,copy_fd,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
85,print_user,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
86,print_user,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
87,extra_mode,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
88,have_same_content,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
89,fclose_wait,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
90,fwait_for_nonblocking_write,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
91,iopoll,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
92,iopoll_input_ok,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
93,iopoll_internal,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
94,iopoll_output_ok,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
95,add_field,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
96,comma_or_blank,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
97,eq_tab,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
98,newline_or_blank,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
99,set_join_field,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
100,system_join,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
