rank,score,program,function,extraction_status,build_status,stage_a_status,stage_b_status,fuzz_seconds,corpus_size,branches_total,branches_covered,branch_pct,lines_total,lines_executed,line_pct,exec_per_sec,total_execs,coverage_blocks
75,5,fmt,put_space,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
76,5,fmt,put_space,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
77,5,fmt,same_para,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
78,5,fmt,same_para,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
79,5,fmt,set_other_indent,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
80,5,getlimits,print_DBL,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
81,5,getlimits,print_FLT,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
82,5,getlimits,print_LDBL,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
83,5,group-list,print_group,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
84,5,head,copy_fd,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
85,5,id,print_user,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
86,5,id,print_user,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
87,5,install,extra_mode,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
88,5,install,have_same_content,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
89,5,iopoll,fclose_wait,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
90,5,iopoll,fwait_for_nonblocking_write,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
91,5,iopoll,iopoll,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
92,5,iopoll,iopoll_input_ok,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
93,5,iopoll,iopoll_internal,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
94,5,iopoll,iopoll_output_ok,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
95,5,join,add_field,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
96,5,join,comma_or_blank,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
97,5,join,eq_tab,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
98,5,join,newline_or_blank,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
99,5,join,set_join_field,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
100,5,join,system_join,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
